uc_seq,name,gugun,lat,lng,여행지,title,subtitle,addr1,homepage_u,trfc_info,usage_day,hldy_info,usage_time,usage_amou,middle_siz,main_img_n,main_img_t,itemcntnts,geometry
266,구 백제병원,동구,35.116383,129.03917,구 백제병원,구 백제병원,-,부산광역시 동구 중앙대로209번길 16,-,"도시철도 1호선 부산역 7번출구 도보 2분버스 103, 26, 27, 40, 41, 59, 81, 87, 1003, 1004 부산역 하차 도보 2분",-,연중무휴,10:00~22:00(1~2층만 개방),무료(카페이용 요금별도),-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225145805369_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225145805369_thumbL,b'ebb680ec82b0ec9b90eb8f84ec8bac20ec9db4ebb094eab5aceab8b820ec8b9cec9e91eca090ec979020ec849c20ec9e88eb8a9420ebb689ec9d8020ebb2bdeb8f8cec838920eab1b4ebacbc20ed9598eb82982e20ebb680ec82b0ecb59cecb488ec9d9820eab7bceb8c80ec8b9d20eca285ed95a9ebb391ec9b90ec9db4ec9788eb8d9820eab5ac20ebb0b1eca09cebb391ec9b90ec9db4eb8ba42e2031393232eb858420eab09cec9b90ed9598ec97ac20eb8bb9ec8b9c20ecb59ceab3a0ec9d9820ebb391ec9b90ec9cbceba19c20ec9ca0ebaa85ec84b8eba5bc20ed8394ec9cbceb82982031393332eb858420ed8f90ec978520ec9db4ed9b8420ec',POINT (129.03917 35.116383)
267,백산기념관,중구,35.101955,129.03456,백산기념관,백산기념관,-,부산광역시 중구 백산길 11,http://www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000208002001000&link=success&cpath=%2Ftour,"도시철도 1호선 중앙역 1번 출구 도보 3분버스 15, 81, 86, 126, 186 백산기념관 하차 도보 1분",-,"월요일, 공휴일(삼일절, 현충일, 광복절 제외)","화~금 10:00~18:00 토, 일 10:00~17:00",무료,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150331107_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150331107_thumbL,b'ebb0b1ec82b020ec9588ed9daceca09c20ec84a0ec839dec9d8020eab3a0ed96a5eb9585ec9d8420ed8c94ec958420ebb0b1ec82b0ec8381ed9a8ceba5bc20ec97b4eab3a020eab7b820ec8898ec9db5eab888ec9cbceba19c20eb8f85eba6bdec9ab4eb8f9920ec9e90eab888ec9d8420eca780ec9b90ed9688eb8ba42e20ebb0b1ec82b0ec8381ed9a8ceb8a942031393139eb858420ebb0b1ec82b0ebacb4ec97adeca3bcec8b9ded9a8cec82aceba19c20ed9995eb8c80eb909c20ed9b842031393238eb858420ec9dbceca09cec9d9820ed8384ec9595ec9cbceba19c20ebacb8ec9d8420eb8babeab8b0eab98ceca78020eab5adeb82b4eb8f85eb',POINT (129.03456 35.101955)
268,한성1918 부산생활문화센터,중구,35.10178,129.03444,한성1918 부산생활문화센터,한성1918,-,부산광역시 중구 백산길 13,http://1918.bscf.or.kr/,"도시철도 1호선 중앙역 1번 출구 도보 3분버스 15, 86, 126, 186 백산기념관 하차 도보 1분",-,주말,09:00 - 22:00,무료,-,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150936833_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150936833_thumbL,b'eca491ec9599eb8f9920ec9b90eb8f84ec8bac20eab3a8ebaaa9eab8b8ec9d8420eab1b7eb8ba4eab08020eba78ceb8298eab28c20eb9098eb8a9420ed959cec84b131393138ec9d8020ed959cec84b1ec9d80ed968920ebb680ec82b0eca780eca090ec9cbceba19c2031393138eb8584ec979020ec84a4eba6bdeb9098ec96b4203430ec97ac20eb8584eab08420ec9d80ed9689ec9785ebacb4eba5bc20ebb3b4eb8d9820eab3b3ec9db4ec9788eb8ba42e20eab7bceb8c8020ebb680ec82b0ec9d9820ebb680ed9da5eab8b0eba5bc20ed95a8eabb98ed959c20eb8c80ed919ceca081ec9db820eab888ec9cb5eab68c20eab1b4ebacbcec9db4eb8b',POINT (129.03444 35.10178)
269,조선통신사역사관,동구,35.135754,129.06203,조선통신사역사관,조선통신사역사관,-,부산광역시 동구 자성로99,http://www.tongsinsa.com/html/,"도시철도 1호선 범일역 2번 출구 도보 12분버스 26, 41, 139, 80, 42, 1003 자성대 하차 도보 2분     22, 23, 27, 40, 41, 63, 83, 101, 108, 134, 138 부산진시장 하차 도보 5분",-,"매주 월요일, 1월1일",09:00~18:00,무료,"점자블록(출입구), 휠체어 출입가능, 엘리베이터, 장애인전용화장실",https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151358656_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151358656_thumbL,b'eca1b0ec84a0ed86b5ec8ba0ec82acec97adec82aceab480ec9d8020ed959c3fec9dbc20ec9691eab5adec9d9820ed8f89ed9994eba5bc20ec9c84ed95b420eca1b0ec84a0ec9790ec849c20ec9dbcebb3b8ec9cbceba19c20ed8c8ceab2aceb909c20eb8c80eab79cebaaa820eab5adeab080ec82aceca088eb8ba8ec9db820eca1b0ec84a0ed86b5ec8ba0ec82acec9d9820ed9689eca081ec9d8420ec9eacebafb8ec9e88eab28c20ec958ceba0a4eca3bceb8a9420ed8390ebb0a920eab3b5eab084ec9db4eb8ba42e20ec9db4ec998020eb8d94ebb688ec96b420eba7a4eb85842035ec9b9420eab491ebb3b5eba19c20ec9dbcec9b90ec9790ec84',POINT (129.06203 35.135754)
270,부산해양자연사박물관,동래구,35.22178,129.07591,부산해양자연사박물관,부산해양자연사박물관,-,부산광역시 동래구 우장춘로 175,http://sea.busan.go.kr,도시철도 1호선 동래역 4번 출구 마을버스 1-1번 환승 해양자연사박물관 하차금강공원 공영주차장 이용(유료),-,"매주 월요일, 1월 1일",화~일 09:00~18:00(입장마감 17:00까지),무료,"시각장애인관, 점자블록, 휠체어 대여가능, 장애인 엘리베이터, 장애인 화장실, 장애인 주차장(금강공원 공영주차장, 유료)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151830289_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151830289_thumbL,b'ebb094eb8bb7ec868d20ec8ba0ebb984ed95a8ec9d8420eba78ceb82a020ec889820ec9e88eb8a9420ebb680ec82b0ed95b4ec9691ec9e90ec97b0ec82acebb095ebacbceab480ec9d8020ec82b4ec9584ec9e88eb8a9420ed95b4ec9691ec9d9820ebb3b4eab3a0eb8ba42e20eab5adeca09ceca081ec9cbceba19c20ed9daceab780ed959c20ec9e90ec97b0ec82ac20ec9e90eba38c2032352c303030ec97ac20eca090ec9d8420ec8898eca7913feca084ec8b9ced9598eab3a020ec9e88eb8ba42e20ed98b8eab8b0ec8bac20eab080eb939ded959c20ec96b4eba6b0ec9db4eb93a4ec9d8420ec9c84ed959c20ecb59ceab3a0ec9d9820ecb2b4ed',POINT (129.07591 35.22178)
271,부산근대역사관,중구,35.10266,129.03114,부산근대역사관,"부산의 근대사를 마주하다, 부산근대역사관",시간이 흘러도 여전히 가슴 아픈 역사,부산 중구 대청로 104,https://museum.busan.go.kr/modern/index,"도시철도 1호선 중앙역 5번 출구 도보 7분버스 40, 81 국제시장 부산근대역사관 하차버스 15, 86, 126, 186 국제시장 하차",-,"1월 1일, 매주 월요일",화~일 / 09:00-18:00(17:00이후 입장불가),무료,"휠체어 출입 가능, 장애인 화장실(3층), 엘리베이터, 안내견 동반 가능",https://www.visitbusan.net/uploadImgs/files/cntnts/20191225152803689_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225152803689_thumbL,b'eb8c80ed959cebafbceab5adec9d9820ec9584ed948820ec97adec82ac20ec9dbceca09ceab095eca090eab8b02e20ec9dbcebb3b8ec9d9820eb8c80eba59920ecb9a8eb9eb5ec9d8420ec9c84ed959c20eab590eb9190ebb3b4ec9880eb8d9820ebb680ec82b0ec9d8020eca780eab888eb8f8420ec9dbcebb3b8ec9db420eb82a8eab8b420ec9584ed9494ec9d9820ed9d94eca081ec9d8420eab3a0ec8aa4eb9e80ed9e8820eab084eca781ed9598eab3a020ec9e88eb8ba42e20ebb680ec82b0eab7bceb8c80ec97adec82aceab480ec9d8020ed8c8ceb9e80eba78cec9ea5ed9688eb8d9820eab7bceb8c8020ebb680ec82b0ec9d9820ec97adec82',POINT (129.03114 35.10266)
272,보수동책방골목,중구,35.103367,129.02663,보수동책방골목,마음에 책갈피 하나를 꽂다 - 보수동책방골목,오래된 시간을 걷는 서점 골목여행,부산광역시 중구 책방골목길 16,http://www.bosubook.com/,"도시철도 1호선 자갈치역 3번 출구 도보 11분버스 40, 81 보수동책방골목 하차버스 103, 11, 113, 8, 96 부평시장 하차",매일(휴무일 제외),"정기휴일(첫째,셋째주 화요일,신정,구정,추석)",가게별 상이(20:00 전후 업무 종료),무료(도서구입 별도),휠체어 접근 가능(골목이 좁아 불편할 수 있음),https://www.visitbusan.net/uploadImgs/files/cntnts/20191225154726785_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225154726785_thumbL,"시간을 되돌아가는 길마음에 책갈피 하나를 꽂다, 보수동책방골목갈수록 바빠지는 삶. ‘빨리 빨리’를 좇다 보면 가끔은 모든 것을 내려놓고 잠시 쉬고 싶을 때가 있다. 그럴 때 가던 걸음을",POINT (129.02663 35.103367)
273,임시수도기념관,서구,35.103527,129.01735,임시수도기념관,대한민국 피란수도 부산을 만나다,한국전쟁이 남긴 흔적 임시수도기념관,부산광역시 서구 임시수도기념로 45,http://museum.busan.go.kr/monument/index,"도시철도 1호선 토성역 2번 출구 도보 6분버스 15, 40, 81 영락교회 하차마을버스 서구3, 서구3-1 부민이편한세상아파트 하차",-,"1월 1일, 매주 월요일",화~일 / 09:00~18:00,무료,"장애인 주차장, 장애인 화장실, 휠체어 무료 대여, 안내견 동반 가능, 휠체어 출입 가능(전시관)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160342484_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160342484_thumbL,"1950년 6월 25일, 민족 최대의 비극 한국전쟁이 일어난 직후 대통령을 비롯한 정부 기관들이 부산으로 옮겨졌고 부산은 임시수도가 되었다. 이때 경남 도지사 관사를 대통령 관저로 사용하게 된",POINT (129.01735 35.103527)
274,동아대석당박물관,서구,35.10497,129.01926,동아대학교 석당박물관,대한민국의 역사적 가치를 품은 동아대학교 석당박물관,부산 임시수도정부청사를 가다,부산광역시 서구 구덕로 225,http://museum.donga.ac.kr/,"도시철도 1호선 토성역 2번 출구 도보 10분버스  15,16, 40, 70, 81, 123, 126, 161, 190 동아대부민캠퍼스 하차주차 동아대학교 부민동캠퍼스 지하 주차장(유료)",-,"매주 월요일, 개교기념일, 법정공휴일",화~일/09:30 ~ 17:00 (입장 16:30),무료(주차요금 별도),"장애인 주차장, 장애인 화장실, 장애인전용 엘리베이터, 점자블록, 음성안내기, 휠체어 무료대여, 점자안내판(큰 활자 홍보물)",https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160959194_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225160959194_thumbL,"등록문화재 41호, 부산 임시수도정부청사, 대한민국 3대 대학박물관. 하나의 건물을 일컫는 세 가지 이름, 동아대학교 석당박물관이 그 주인공이다.임시정부청사와 부산지방검찰청으로 사용된",POINT (129.01926 35.10497)
275,"국립일제강제동원역사관(한,영,중간,중번,일)",남구,35.124355,129.09192,국립일제강제동원역사관,아픈 역사에 위로를 국립일제강제동원역사관,함께 기억하고 널리 알리다,부산광역시 남구 홍곡로320번길 100,https://www.fomo.or.kr/museum/kor/Main.do,"도시철도 2호선 못골역 1번 출구 → 마을버스 남구9 환승 → 국립일제강제동원역사관 하차버스 134 석포초등학교 하차, 도보 10분마을버스 남구9 ? 유엔평화기념관?국립일제강제동원역사관 하차",-,"매주 월요일, 1월 1일, 명절 당일",화~일/09:30 ~ 17:30(17:00 이후 입장불가),무료,"장애인용 화장실, 장애인 주차장, 장애인전용 엘리베이터, 휠체어 리프트, 휠체어통행 가능, 휠체어 무료대여, 점자블록, 전시음성안내, 안내견 동반 가능",https://www.visitbusan.net/uploadImgs/files/cntnts/20191225162953256_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225162953256_thumbL,"중일전쟁 발발 후 국가총동원법을 제정한 일본은 조선인들을 강제 동원하여 노동착취 및 인권을 유린했다. 탄광 노무자, 군인, 여자근로정신대라는 이름으로 일본, 만주 등지로 끌려간 조선인",POINT (129.09192 35.124355)
276,부산박물관,남구,35.12957,129.09451,부산박물관,"부산의 역사, 대한민국의 역사",박물관이 알려주는 부산의 역사이야기,부산광역시 남구 유엔평화로 63,http://museum.busan.go.kr/busan,"도시철도 2호선 대연역 1번 출구 도보 12분버스 134, 51, 68, 138, 138-1, 1006 시립박물관?부산문화회관 하차부산시티투어버스 : 부산역(레드라인) → 부산박물관 하차주차 박물관 내 주차장(무료)",-,"매주 월요일, 1월 1일",09:00~18:00 (입장 17:00까지),무료,"장애인 주차장, 장애인 화장실, 장애인전용 엘리베이터, 자동안내 모바일앱(수화영상안내), 한국어 음성가이드기, 휠체어 무료 대여, 휠체어 접근 가능, 안내견 동반 가능",https://www.visitbusan.net/uploadImgs/files/cntnts/20191225163741459_ttiel,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225163741459_thumbL,‘부산’이라는 이름의 박물관.그만큼 부산을 대표하는 박물관이자 대한민국의 역사를 담고 있는 곳이다.1978년 11월에 개관한 ‘부산박물관’은 부산시민의 휴식처이자 구석기 유물부터 고려,POINT (129.09451 35.12957)
